pId,tagType,hashTag
36,SEASON,봄
36,SEASON,겨울
36,IEM,체험
36,IEM,문화
36,CL,도시
37,GRP,부모
37,GRP,아이
37,GRP,가족
37,GRP,친구
37,GRP,커플
37,GRP,혼자
37,SEASON,여름
37,SEASON,가을
37,SEASON,봄
37,SEASON,겨울
37,IEM,쇼핑
37,CL,도시
38,GRP,아이
38,GRP,가족
38,GRP,친구
38,GRP,커플
38,GRP,혼자
38,SEASON,여름
38,SEASON,가을
38,SEASON,봄
38,SEASON,겨울
38,IEM,역사
38,IEM,문화
38,CL,도시
39,GRP,부모
39,GRP,아이
39,GRP,친구
39,GRP,커플
39,GRP,혼자
39,SEASON,여름
39,SEASON,가을
39,SEASON,봄
39,SEASON,겨울
39,IEM,역사
39,IEM,문화
39,CL,도시
40,GRP,부모
40,GRP,아이
40,GRP,가족
40,GRP,친구
40,GRP,커플
40,GRP,혼자
40,SEASON,여름
40,SEASON,가을
40,SEASON,봄
40,SEASON,겨울
40,IEM,자연
40,CL,바다
41,GRP,부모
41,GRP,아이
41,GRP,가족
41,GRP,친구
41,GRP,커플
41,GRP,혼자
41,SEASON,여름
41,SEASON,가을
41,SEASON,봄
41,SEASON,겨울
41,IEM,자연
41,CL,바다
42,GRP,혼자
42,SEASON,여름
42,SEASON,가을
42,SEASON,봄
42,IEM,자연
42,IEM,공원
42,IEM,걷기
42,CL,산
42,CL,바다
43,GRP,부모
43,GRP,아이
43,GRP,가족
43,GRP,친구
43,GRP,커플
43,GRP,혼자
43,SEASON,가을
43,SEASON,봄
43,IEM,자연
43,CL,바다
44,GRP,아이
44,GRP,친구
44,GRP,커플
44,GRP,혼자
44,SEASON,여름
44,SEASON,가을
44,SEASON,봄
44,SEASON,겨울
44,IEM,자연
44,IEM,체험
44,IEM,문화
44,CL,바다
45,GRP,친구
45,GRP,혼자
45,SEASON,가을
45,IEM,자연
45,CL,바다
46,GRP,친구
46,GRP,커플
46,GRP,혼자
46,SEASON,여름
46,SEASON,가을
46,SEASON,봄
46,IEM,자연
46,IEM,공원
46,CL,바다
47,GRP,친구
47,GRP,커플
47,GRP,혼자
47,SEASON,여름
47,SEASON,가을
47,SEASON,봄
47,SEASON,겨울
47,IEM,자연
47,IEM,걷기
47,CL,도시
47,CL,바다
48,GRP,부모
48,GRP,아이
48,GRP,가족
48,GRP,친구
48,GRP,커플
48,GRP,혼자
48,SEASON,여름
48,SEASON,가을
48,SEASON,봄
48,SEASON,겨울
48,IEM,자연
48,CL,바다
49,GRP,친구
49,GRP,커플
49,GRP,혼자
49,SEASON,여름
49,SEASON,가을
49,SEASON,봄
49,SEASON,겨울
49,IEM,자연
49,CL,산
50,GRP,아이
50,GRP,친구
50,GRP,커플
50,GRP,혼자
50,SEASON,여름
50,SEASON,가을
50,SEASON,봄
50,SEASON,겨울
50,IEM,자연
50,IEM,걷기
50,CL,산
50,CL,바다
51,GRP,아이
51,GRP,친구
51,GRP,커플
51,GRP,혼자
51,SEASON,여름
51,SEASON,가을
51,SEASON,봄
51,IEM,자연
51,IEM,걷기
51,CL,산
52,GRP,친구
52,GRP,혼자
52,SEASON,여름
52,SEASON,가을
52,SEASON,봄
52,IEM,자연
52,IEM,공원
52,IEM,걷기
52,CL,산
53,GRP,부모
53,GRP,아이
53,GRP,친구
53,GRP,커플
53,GRP,혼자
53,SEASON,여름
53,SEASON,가을
53,SEASON,봄
53,SEASON,겨울
53,IEM,자연
53,IEM,걷기
53,CL,산
54,GRP,아이
54,GRP,친구
54,GRP,커플
54,GRP,혼자
54,SEASON,여름
54,SEASON,가을
54,SEASON,봄
54,IEM,자연
54,IEM,걷기
54,CL,산
55,GRP,부모
55,GRP,아이
55,GRP,친구
55,GRP,커플
55,GRP,혼자
55,SEASON,여름
55,SEASON,가을
55,SEASON,봄
55,IEM,자연
55,CL,바다
56,GRP,아이
56,GRP,친구
56,GRP,커플
56,GRP,혼자
56,SEASON,여름
56,SEASON,가을
56,SEASON,봄
56,IEM,자연
56,CL,바다
57,GRP,가족
57,GRP,친구
57,GRP,커플
57,GRP,혼자
57,SEASON,여름
57,SEASON,가을
57,SEASON,봄
57,SEASON,겨울
57,IEM,자연
57,IEM,걷기
57,CL,산
58,GRP,친구
58,GRP,커플
58,GRP,혼자
58,SEASON,여름
58,SEASON,가을
58,SEASON,봄
