PLACE_NM,pId,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
요산문학관,74,부산광역시 금정구 팔송로 60-6,"도시철도 1호선 범어사역 1번 출구 도보 12분, 버스 29, 51, 80 남산동 하차",부산 금정구 남산동 1003,금샘로,Y,35.27242,129.0851
국립수산과학관,75,부산광역시 기장군 기장읍 기장해안로 216,"동해선 오시리아역 하차 → 버스 139 환승 국립수산과학관 하차, 버스 100, 139, 181 국립수산과학관 하차, 부산시티투어버스 블루라인(해운대) → 국립수산과학관 하차, 주차 국립수산과학관 주차장(무료)",부산 기장군 기장읍 시랑리 706,기장해안로,N,35.19415,129.22027
사상생활사박물관,76,부산광역시 사상구 낙동대로1258번길 36,"도시철도 2호선 덕포역 1번 출구 도보 8분, 버스 123, 126 삼락생태공원 하차 도보 6분, 주차 사상생활사박물관 주차장",부산 사상구 삼락동 438,낙동대로,Y,35.17167,128.97686
부산해양자연사박물관,77,부산광역시 동래구 우장춘로 175,"도시철도 1호선 동래역 4번 출구 마을버스 1-1번 환승 해양자연사박물관 하차, 금강공원 공영주차장 이용(유료)",부산 동래구 온천동 204-48,우장춘로,Y,35.21928,129.07646
부산기상관측소,79,부산광역시 중구 복병산길32번길 5-11,"도시철도 1호선 중앙역 11번 출구 도보 8분, 버스 186, 86 새들맨션 하차 도보 6분",부산 중구 대청동4가 102,중구로,Y,35.10493,129.0308
보수동책방골목,82,부산광역시 중구 책방골목길 16,"도시철도 1호선 자갈치역 3번 출구 도보 11분, 버스 40, 81 보수동책방골목 하차, 버스 103, 11, 113, 8, 96 부평시장 하차",부산 중구 보수동1가 132-5,대청로,Y,35.10324,129.02675
부산근대역사관,83,부산 중구 대청로 104,"도시철도 1호선 중앙역 5번 출구 도보 7분, 버스 40, 81 국제시장 부산근대역사관 하차, 버스 15, 86, 126, 186 국제시장 하차",부산 중구 대청동2가 11-2,대청로,Y,35.10296,129.03154
범어사,84,부산광역시 금정구 범어사로 250,"도시철도 1호선 범어사역 5, 7번 출구 → 버스 환승 90 범어사주차장 하차, 주차 범어사 주차장(유료)",부산 금정구 청룡동 461-1,범어사로,N,35.2795,129.07725
문화공감 수정,86,부산광역시 동구 홍곡로 75,"도시철도 1호선 부산진역 1번 출구 도보 7분, 버스 103 경남여중 하차 59, 67, 81, 167 고관입구 하차, 부산역에서 택시로 기본요금",부산 동구 수정동 1097,홍곡로,Y,35.12595,129.0443
초량1941,88,부산광역시 동구 망양로 533-5,"문화공감 수정, 도시철도 1호선 부산진역 1번 출구 도보 7분, 버스 103 경남여중 하차 59, 67, 81, 167 고관입구 하차, 부산역에서 택시로 기본요금, 초량1941, 버스 22, 38, 52, 86, 186 금수사 하차, 부산역에서 택시로 기본요금",부산 동구 초량동 840-4,망양로,Y,35.11973,129.03026
가덕도,89,부산광역시 강서구 가덕해안로 21,도시철도 1호선 하단역 하차 → 버스 520 환승 → 동중마을 정류장 하차,부산 강서구 송정동 1707-1,가락대로,N,35.08849,128.8397
임시수도기념관,91,부산광역시 서구 임시수도기념로 45,"도시철도 1호선 토성역 2번 출구 도보 6분, 버스 15, 40, 81 영락교회 하차, 마을버스 서구3, 서구3-1 부민이편한세상아파트 하차",부산 서구 부민동3가 75,해돋이로,Y,35.10383,129.01646
국립부산과학관,93,부산광역시 기장군 기장읍 동부산관광6로 59,"도시철도 동해선 오시리아역 1번 출구 → 버스 185 환승 → 국립부산과학관 하차, 도시철도 2호선 장산역 5번?7번 출구 → 버스 185 환승 → 국립부산과학관 하차, 주차 국립부산과학관 주차장(유료)",부산 기장군 기장읍 내리 813,기장대로,Y,35.20542,129.20642
복천박물관,94,부산광역시 동래구 복천로 63,"도시철도 4호선 수안역 5번 출구 도보 18분, 마을버스 동래구6 복천박물관 하차",부산 동래구 칠산동 산 1-47,칠산로,Y,35.20812,129.09174
뮤지엄다,95,부산광역시 해운대구 센텀서로 20,"도시철도 2호선 센텀시티역 6번 출구 도보 5분, 버스 141, 155, 40, 5-1, 63, 1001, 1002, 1007번 센텀시티역 하차 도보 7분",부산 해운대구 우동 1524,센텀5로,N,35.17042,129.1342
F1963,96,부산 수영구 구락로123번길 20,"도시철도 3호선 망미역 4번 출구 → 수영구2 마을버스 환승 → 산정아파트 하차 도보 2분, 버스 54 고려제강 하차 도보 2분, 주차 F1963 주차장",부산 수영구 망미동 601-1,구락로,Y,35.17717,129.10733
중앙공원,97,"중앙공원 부산광역시 서구 망양로 193번길 187, 민주공원 부산광역시시 중구 민주공원길 19","도시철도 1호선 초량역 1번 출구 → 508 버스 환승 → 중앙공원?민주공원 하차 도보 6분, 1호선 동대신역 3번 출구 → 중구1 마을버스 환승 → 중앙공원?민주공원 하차 도보 5분, 버스 38 43 508 70 중앙공원?민주공원 하차, 주차 중앙공원?민주공원 공영주차장",부산 서구 동대신동2가 102-35,망양로,N,35.11318,129.026
유엔기념공원,99,유엔기념공원 부산광역시 남구 유엔평화로 93 유엔평화기념관 부산광역시 남구 홍곡로320번길 106,"유엔기념공원, 도시철도 2호선 대연역 3번 출구 도보 18분, 버스 134, 68, 138, 138-1, 1006 유엔공원?부산문화회관 하차, 부산시티투어버스 : 부산역(레드라인) → 유엔기념공원 하차, 유엔평화기념관, 버스 134, 68, 51 석포초 하차 도보 7분",부산 남구 대연동 737-9,유엔평화로,Y,35.12625,129.09576
부산박물관,100,부산광역시 남구 유엔평화로 63,"도시철도 2호선 대연역 1번 출구 도보 12분, 버스 134, 51, 68, 138, 138-1, 1006 시립박물관?부산문화회관 하차, 부산시티투어버스 : 부산역(레드라인) → 부산박물관 하차, 주차 박물관 내 주차장(무료)",부산 남구 대연동 1014,유엔로,Y,35.13156,129.09194
부산시립미술관,101,부산광역시 해운대구 APEC로 58,"도시철도 2호선 벡스코(시립미술관)역 5번 출구, 주차 09:00~19:00 유료",부산 해운대구 우동 1127-46,APEC로,N,35.16678,129.13508
영화의 전당,102,부산광역시 해운대구 수영강변대로 120(영화의 전당),"영화의 전당 도시철도 2호선 센텀시티역 12번 출구 도보 12분 버스 115, 181, 307,해운대구3-1, 해운대구3-2 시청자미디어센터 하차",부산 해운대구 우동 1524,센텀서로,N,35.17064,129.13118
벡스코,103,부산광역시 해운대구 APEC로 55,"도시철도 2호선 센텀시티역 1번 출구 도보 6분, 버스 100, 100-1, 115-1, 139, 141, 181, 200, 31, 39, 40, 63 벡스코 시립미술관 하차",부산 해운대구 우동 1524,센텀3로,N,35.17036,129.13419
민주공원,107,부산광역시 중구 민주공원길,"도시철도 1호선 초량역 1번 출구 → 508 버스 환승 → 민주공원 하차 도보 6분, 주차 민주공원 공영주차장",부산 서구 동대신동2가 102-13,망양로,Y,35.11305,129.02599
국립일제강제동원역사관,109,부산광역시 남구 홍곡로320번길 100,"도시철도 2호선 못골역 1번 출구 → 마을버스 남구9 환승 → 국립일제강제동원역사관 하차, 버스 134 석포초등학교 하차, 도보 10분, 마을버스 남구9 ? 유엔평화기념관?국립일제강제동원역사관 하차",부산 남구 대연동 1015,석포로,Y,35.1282,129.09107
장안사,110,부산광역시 기장군 장안읍 장안로 482,"마을버스 기장군9 상장안 하차 도보 약 17분, 주차 장안사 주차장",부산 기장군 장안읍 장안리 509-1,장안로,N,35.37127,129.24211
삼광사,112,부산광역시 부산진구 초읍천로43번길 77,"도시철도 2호선 서면역 9번 출구 영광도서 맞은편 정류장 → 마을버스 부산진구15 환승 → 삼광사 경내 정류장 하차, 버스 44, 54, 63, 81, 133 삼광사 입구 하차 도보 이동, 주차 삼광사 주차장(무료)",부산 부산진구 초읍동 645-10,초읍천로,Y,35.17629,129.04679
선암사,113,부산광역시 부산진구 백양산로 138,"도시철도 1호선 서면역 9번 출구 → 롯데호텔백화점 맞은편 정류장 버스 17, 23 환승 → 선암사 입구 하차 도보 14분, 주차 선암사 주차장",부산 부산진구 부암동 723,백양산로,Y,35.17558,129.03052
사직야구장,115,부산광역시 동래구 사직로 45,"도시철도 3호선 종합운동장역 9번 출구 도보 11분, 버스 54, 57, 83-1, 131 사직실내수영장 하차 도보 4분",부산 동래구 사직동 737,사직로,Y,35.19512,129.05686
해운대수목원,122,부산광역시 해운대구 석대동 26,"도시철도 4호선 반여농산물시장역 2번 출구 도보 35분, 버스 36, 115-1, 129-1, 183, 189, 189-1 석대역 하차, 도보 30분, 주차 해운대수목원 주차장, 해운대수목원 ↔ 도시철도 4호선 반여농산물시장역 무료 셔틀버스 운행, 운행 요일 : 매주 화, 수, 목, 토, 일 (월, 금은 운행 안 함) 무료 셔틀버스 왕복 10:00 ~ 16:00까지 6차례 운행 반여농산물시장역 1번 출구 출발 : 10:00, 11:00, 13:00, 14:00, 15:00, 16:00 해운대수목원 입구 출발 : 10:30, 11:30, 13:30, 14:30, 15:30, 16:30",부산 해운대구 석대동 471-2,석대로,N,35.22002,129.12766
부산도서관,123,부산 사상구 사상로310번길 33,"도시철도 2호선 덕포역 2번 출구 도보 3분, 버스 15, 31, 33, 59, 62, 110, 148-1, 160, 169, 338, 1004(급행), 사상구1-1 덕포시장 하차, 주차 부산도서관 주차장",부산 사상구 덕포동 430,삼덕로,Y,35.17224,128.98336
해동용궁사,126,부산광역시 기장군 기장읍 용궁길 86,"도시철도 2호선 해운대역 7번 출구 → 181, 100, 해운대 9 버스 환승 → 해동용궁사 하차, 동해선 오시리아역 1번 출구 → 오시리아역 버스정류장 139 버스 환승 → 해동용궁사 하차, 부산시티투어버스 부산역(레드라인) → 해운대해수욕장 버스 환승(블루라인 ) → 해동용궁사 하차, 주차 해동용궁사 주차장 (유료)",부산 기장군 기장읍 시랑리 706,기장해안로,N,35.19411,129.22046
부산프리미엄아울렛,127,부산광역시 기장군 장안읍 정관로 1133,"버스 182, 188, 37, 1008, 기장군8, 기장군8-1 부산프리미엄아울렛 하차 도보 2분, 주차 부산 프리미엄 아울렛 주차장",부산광역시 기장군 장안읍 정관로 1133,정관로,Y,35.3216,129.23546
신세계백화점 센텀시티점,128,부산광역시 해운대구 센텀남대로 35 / 센텀4로 15,"도시철도 2호선 센텀시티역 하차, 지하 연결통로 이용 도보 2분, 버스 141, 155, 39, 40, 5-1, 63 신세계센텀시티 하차 도보 4분, 주차 신세계백화점 센텀시티점 주차장",부산 해운대구 우동 1524,센텀남대로,N,35.16766,129.12918
