PLACE_NM,pId,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
송도오토캠핑장,158,부산광역시 서구 송도해변로 36,"버스 7, 71 현대아파트 하차 도보 6분",부산 서구 암남동 135-8,송도해변로,N,35.07295,129.01681
부산영화체험박물관,169,부산 중구 대청로126번길 12,"도시철도 1호선 중앙역 5번 출구 도보 5분, 버스 126, 15, 186, 81, 86 백산기념관 하차 도보 3분, 주차 부산영화체험박물관 주차장(1시간 무료)",부산 중구 대청동1가 50-1,대청로,Y,35.10284,129.03275
화명생태공원,176,부산광역시 북구 화명동 1718-10,도시철도 2호선 화명역 1번 출구 도보 10분 / 주차 화명생태공원 주차장,부산 북구 화명동 2257,금곡대로,Y,35.23187,129.00784
고우니생태길,177,부산광역시 사하구 다대동,"도시철도 1호선 다대포해수욕장역 2번 출구 도보 5분, 주차 다대포해수욕장 공영주차장(유료)",부산 사하구 다대동 1543,다대로,Y,35.04847,128.96498
흰여울터널,178,부산광역시 영도구 영선동4가 1210-38,"도시철도 1호선 남포역 6번 출구 → 영도대교(남포역) 정류장 버스 환승 508, 71, 7 → 백련사 정류장 하차, 도보 5분, 주차 신선3동공영주차장(유료)",부산 영도구 영선동4가 565-2,절영로,Y,35.08034,129.04299
삼락상설카약체험장,180,부산광역시 사상구 삼락동 29-21 삼락수상레포츠타운(삼락오토캠핑장 옆),"부산김해 경전철 궤법르네시떼역 1번 출구 도보 16분, 버스 8, 15, 31, 33, 59, 61, 62, 77, 110, 123, 126, 138-1, 160, 161, 169, 338 삼락생태공원 하차, 주차 삼락생태공원 주차장",부산 사상구 삼락동 463,낙동대로,Y,35.17458,128.97662
아미산전망대,185,부산광역시 사하구 다대낙조2길 77,"도시철도 1호선 다대포항역 1번 출구 → 사하구15 마을버스 환승 → 몰운대성당 하차 도보2분, 주차 아미산전망대 공영주차장(무료)",부산 사하구 다대동 1550-3,다대낙조2길,Y,35.05211,128.9608
신호공원,186,부산광역시 강서구 신호산단1로72번길 46,"도시철도 1호선 하단역 3번 출구 → 하단역 정류장 버스 환승 58-1, 58-2, 마을버스 강서구9-2 → 의창수협 정류장 하차, 도보 10분",부산 강서구 신호동 303,신호산단1로,Y,35.08132,128.87339
소담공원,187,부산광역시 강서구 신호동 263,신호공원에서 도보 10분,부산 강서구 신호동 303,신호산단2로,Y,35.08132,128.87339
부산현대미술관,188,부산 사하구 낙동남로 1191,"도시철도 1호선 하단역 5번 출구, 58-2 버스 환승 부산현대미술관 하차 도보 3분",부산 사하구 하단동 1149-13,낙동남로,N,35.10789,128.94587
광안리 민락항 방파제,189,부산 수영구 민락동 113-52,"도시철도 2호선 광안역 5번 출구, 83, 210 버스 환승 민락동차고지, 민락매립지공영주차장 하차 도보 8분",부산 수영구 민락동 181-75,광안해변로,N,35.15642,129.12574
이기대 몽돌해변,190,부산광역시 남구 용호동 산25 이기대해안산책로 해변,"도시철도 2호선 경성대?부경대역 5번 출구 → 버스 환승 20 22 24 27 39 131 → 용호2동주민센터 정류장 하차, 도보 30분(택시 이용 13분), 주차 이기대 제2공영주차장(유료)",부산 남구 용호동 12-1,이기대공원로,Y,35.12509,129.11633
몰운대 몽돌해변,191,부산광역시 사하구 다대동 산144,"도시철도 1호선 다대포해수욕장역 2번 출구, 도보 27분, 버스 11, 2, 3, 338, 96, 96-1, 1000 다대포해수욕장 하차, 도보 27분, 주차 다대포해수욕장 공영주차장(유료)",부산 사하구 다대동 460-1,다대로,Y,35.04763,128.96797
천마산전망대,192,부산광역시 서구 남부민동 산 4-35,"도시철도 1호선 토성역 10번 출구 → 부산대학교병원 정류장 버스 134번 환승 → 동산교회 하차 → 도보 10분, 주차 (구)감정초등학교 공영주차장(유료)",부산 서구 남부민동 50-64,해돋이로,Y,35.09165,129.01982
부산그린레일웨이,194,부산 해운대구 해운대해변로 85,"해운대블루라인파크 미포정거장, 부산광역시 해운대구 달맞이길62번길 13, 도시철도 2호선 중동역 7번 출구 도보 18분, 주차 해운대블루라인파크 미포정거장 주차장",부산 해운대구 우동 977-8,해운대로,Y,35.16242,129.14512
배산숲길,195,부산광역시 연제구 연산동,"도시철도 3호선 배산역 6번 출구 도보 20분, 버스 1, 131, 141, 20, 5-1, 51, 57, 62, 63 배산역 하차 도보 20분, 주차 인근 주차장",부산 연제구 연산동 339-61,고분로,Y,35.1859,129.09342
대항어촌마을,201,부산광역시 강서구 가덕해안로1207번길 9-2,"도시철도 1호선 하단역 → 버스 520 환승 → 대항마을 정류장 하차, 도보 4분, 주차 부산 강서구 대항동 산13-26 (대항공영주차장)",부산 강서구 대항동 416-3,가덕해안로,N,35.01222,128.82766
동백방파제,203,부산광역시 기장군 일광면 동백리 233-44,"기장군청 정류장 버스 188, 180 승차 → 동백 하차, 주차 동백항",부산 기장군 일광면 동백리 213-2,일광로,N,35.28742,129.25664
병산저수지,204,부산광역시 기장군 정관읍 용수리,"기장시장 정류장 버스 182 승차 → 현진에버빌후문사거리 하차 → 도보 30분, 주차 인근 주차장 이용",부산 기장군 정관읍 모전리 796,정관2로,Y,35.33501,129.16958
사라수변공원,205,부산광역시 기장군 기장읍 대라리 805-2,"동해선 기장역 1번 출구 → 기장중학교 정류장 마을버스 기장군11 승차 → 기장고등학교 하차 도보 10분, 주차 사라수변공원 주차장(좁음)",부산 기장군 기장읍 대라리 254,대청로,Y,35.23859,129.21024
송도해상케이블카,207,부산광역시 서구 송도해변로 171,"버스 17, 61, 1011 송도입구 하차 → 도보 14분 / 버스 26, 30 암남동주민센터 하차 → 도보 10분",부산 서구 암남동 123-50,송도해변로,N,35.07639,129.02385
송도구름산책로,208,부산광역시 서구 암남동 129-4,"버스 17, 61, 1011 송도입구 하차 → 도보 14분 / 버스 26, 30 암남동주민센터 하차 → 도보 10분",부산 서구 암남동 124-6,송도해변로,N,35.07616,129.02282
남항대교,211,부산광역시 서구 암남동,"도시철도 1호선 자갈치역 2번 출구 → 버스 26, 30, 6, 71, 96, 96-1 환승 → 암남동주민센터 하차 도보 10분, 주차 남항대교 공영주차장",부산 서구 암남동 123-20,동대로,N,35.07857,129.02485
초량이바구길,213,부산광역시 동구 중앙대로 209번길 16,"도시철도 1호선 부산역 7번 출구 도보 2분, 버스 26, 27, 40, 41, 59, 81, 87, 103, 1003, 1004 부산역 하차 도보 2분, 주차 부산역 공영주차장",부산 동구 초량동 1206-1,중앙대로,Y,35.11453,129.03934
동백해안산책로,214,부산광역시 해운대구 동백로 99,"도시철도 2호선 동백역 1번 출구 도보 20분 버스 139, 307, 1003, 동백섬입구 하차 부산시티투어버스 부산역(레드라인) → 해운대해수욕장 하차 주차 동백공원 공영주차장",부산 해운대구 우동 730-28,동백로,N,35.15625,129.15342
